Fabricante,Ano,Modelo,Tipo,Raridade,Pais,Valor
Chevrolet,1972,K10 Custom,Pickups & 4x4s,Common,US,250000
Chevrolet,1979,Camaro Z28,Classic Muscle,Rare,US,35000
Chevrolet,1988,Monte Carlo Super Sport,Retro Muscle,Common,US,25000
Chevrolet,1995,Corvette ZR-1,Retro Muscle,Common,US,45000
Chevrolet,1996,Impala Super Sport,Retro Muscle,Common,US,20000
Chevrolet,2002,Corvette Z06,Retro Muscle,Common,US,35000
Chevrolet,2009,Corvette ZR1,Modern Muscle,Rare,US,125000
Chevrolet,2013,Summit Racing Pro Stock Camaro,Track Toys,Legendary,US,300000
Chevrolet,2015,Camaro Z/28,Track Toys,Rare,US,86000
Chevrolet,2015,Corvette Z06,Modern Muscle,Rare,US,110000
Chevrolet,2017,Camaro ZL1,Modern Muscle,Rare,US,60000
Chevrolet,2017,Colorado ZR2,Pickups & 4x4s,Common,US,46000
Chevrolet,2017,Colorado ZR2,-,-,US,-
Chevrolet,2018,Camaro ZL1 1LE,Track Toys,Rare,US,105000
Chevrolet,2018,Hot Wheels COPO Camaro,Track Toys,Rare,US,205000
Chevrolet,2019,Corvette ZR1,Track Toys,Epic,US,255000
Chevrolet,2020,#3 Corvette Racing C8.R,Extreme Track Toys,Epic,US,650000
Chevrolet,2020,Corvette Stingray Coupé,Modern Supercars,Rare,US,65000
Chevrolet,2020,Silverado LT Trail Boss,Pickups & 4x4s,Rare,US,75000
Chevrolet,2023,Corvette Z06,Track Toys,Epic,US,250000
Chevrolet,2024,Corvette E-Ray,Modern Supercars,Epic,US,250000
CUPRA,2021,Formentor VZ5,Sports Utility Heroes,Epic,ES,70000
CUPRA,2022,Tavascan Concept,Sports Utility Heroes,Epic,ES,50000
CUPRA,2022,UrbanRebel Concept,Track Toys,Epic,ES,2000000
Czinger,2024,21 C,Extreme Track Toys,Epic,US,2000000
Datsun,1970,510,Cult Classics,Common,JP,25000
DeBerti,1961,Ford Econoline 'Shop Rod',Rods & Customs,Rare,US,200000
DeBerti,2013,Wrangler Unlimited,Unlimited Offroad,Epic,US,200000
DeBerti,2018,Chevrolet Silverado 1500 Drift Truck,Drift Cars,Epic,US,300000
DeBerti,2018,F-150 Prerunner,Unlimited Offroad,Epic,US,250000
DeBerti,2018,Ford Mustang GT,Modern Muscle,Epic,US,500000
DeBerti,2019,Ford Super Duty F-250 Lariat 'Transformer',Unlimited Offroad,Epic,US,250000
DeBerti,2019,"Toyota Tacoma TRD ""The Performance Truck""",Drift Cars,Common,US,500000
DeLorean,1982,DMC-12,Retro Sports Cars,Legendary,US,15000
Dodge,1968,Dart HEMI Super Stock,Classic Muscle,Legendary,US,300000
Dodge,1969,Charger R/T Forza Edition,Track Toys,Forza Edition,US,70000
Dodge,1969,Charger Daytona HEMI,Classic Muscle,Epic,US,900000
Dodge,1969,Charger R/T,Classic Muscle,Rare,US,103000
Dodge,1970,Challenger R/T,Classic Muscle,Epic,US,210000
Dodge,1970,Coronet Super Bee,Classic Muscle,Rare,US,250000
Dodge,1999,Viper GTS ACR,Retro Muscle,Legendary,US,75000
Dodge,2008,Magnum SRT-8,Modern Muscle,Rare,US,35000
Dodge,2008,Viper SRT10 ACR,Track Toys,Rare,US,90000
Dodge,2013,SRT Viper GTS Anniversary Edition,Modern Muscle,Anniversary Edition,US,250000
Dodge,2013,SRT Viper GTS,Modern Muscle,Rare,US,95000
Dodge,2015,Challenger SRT Hellcat,Modern Muscle,Rare,US,75000
Dodge,2015,Charger SRT Hellcat,Modern Muscle,Rare,US,80000
Dodge,2016,Viper ACR,Track Toys,Epic,US,150000
Dodge,2018,Challenger SRT Demon,Modern Muscle,Rare,US,150000
Dodge,2018,Durango SRT,Sports Utility Heroes,Common,US,70000
Donkervoort,2013,D8 GTO,Track Toys,Epic,NL,250000
DS,1975,23,Cult Classics,Common,FR,250000
Eagle,2012,Speedster,Modern Sports Cars,Legendary,GB,550000
Elemental,2019,Rp1,Track Toys,Rare,GB,150000
Exomotive,2018,Exocet Off-Road Forza Edition,Rally Monsters,Forza Edition,US,500000
Exomotive,2018,Exocet Off-Road,Unlimited Buggies,Rare,US,50000
Extreme E,2022,#125 ABT Cupra XE,Unlimited Offroad,Rare,FR,700000
Extreme E,2022,#22 JBXE,Unlimited Offroad,Rare,FR,700000
Extreme E,2022,#23 Genesys Andretti United,Unlimited Offroad,Rare,FR,700000
Extreme E,2022,#42 XITE Racing Team,Unlimited Offroad,Rare,FR,700000
Extreme E,2022,#44 X44,Unlimited Offroad,Rare,FR,700000
Extreme E,2022,#5 Veloce Racing,Unlimited Offroad,Rare,FR,700000
Extreme E,2022,#55 ACCIONA | Sainz XE Team,Unlimited Offroad,Rare,FR,700000
Extreme E,2022,#58 McLaren Racing,Unlimited Offroad,Rare,FR,700000
Extreme E,2022,#6 Rosberg X Racing,Unlimited Offroad,Rare,FR,700000
Extreme E,2022,#99 Chip Ganassi Racing GMC HUMMER EV,Unlimited Offroad,Rare,FR,700000
Fast and Furious,1966,Chevrolet Impala Super Sport 'Fast X',Track Toys,Legendary,US,300000
Fast and Furious,1970,Dodge Charger 'Fast X',Classic Muscle,Legendary,US,300000
Fast and Furious,1973,Datsun 240Z 'Fast X',Classic Sports Cars,Legendary,US,300000
Fast and Furious,2022,Dodge Charger SRT Hellcat Redeye Widebody 'Fast X',Modern Muscle,Legendary,US,120000
Fast and Furious,2022,Flip Car 2.0 'Fast X',Track Toys,Legendary,US,300000
Ferrari,1957,250 California,Rare Classics,Legendary,IT,18500000
Ferrari,1957,250 Testa Rossa,Classic Racers,Legendary,IT,16400000
Ferrari,1962,250 GT Berlinetta Lusso,Rare Classics,Legendary,IT,2600000
Ferrari,1962,250 GTO,Classic Racers,Legendary,IT,50000000
Ferrari,1967,#24 Ferrari Spa 330 P4,Classic Racers,Legendary,IT,9000000
Ferrari,1968,365 GTB/4,Rare Classics,Epic,IT,600000
Ferrari,1969,Dino 246 GT,Rare Classics,Epic,IT,425000
Ferrari,1970,512 S,Classic Racers,Legendary,IT,3500000
Ferrari,1984,288 GTO,Retro Supercars,Legendary,IT,3500000
Ferrari,1987,F40,Retro Supercars,Legendary,IT,1200000
Ferrari,1989,F40 Competizione,Extreme Track Toys,Legendary,IT,2000000
Ferrari,1992,512 TR,Retro Supercars,Epic,IT,270000
Ferrari,1994,F355 Berlinetta,Retro Supercars,Epic,IT,190000
Ferrari,1995,F50,Retro Supercars,Legendary,IT,2000000
Ferrari,1996,F50 GT,Extreme Track Toys,Legendary,IT,2000000
Ferrari,2002,Enzo Ferrari,Retro Supercars,Legendary,IT,2800000
Ferrari,2002,575M Maranello,Retro Supercars,Epic,IT,250000
Ferrari,2003,360 Challenge Stradale,Retro Supercars,Epic,IT,200000
Ferrari,2005,FXX,Extreme Track Toys,Legendary,IT,2500000
Ferrari,2007,430 Scuderia,Modern Supercars,Epic,IT,300000
Ferrari,2009,458 Italia,Modern Supercars,Epic,IT,225000
Ferrari,2010,599XX,Extreme Track Toys,Legendary,IT,2000000
Ferrari,2010,599 GTO,Super GT,Epic,IT,350000
Ferrari,2012,599XX Evolution,Extreme Track Toys,Legendary,IT,2600000
Ferrari,2013,LaFerrari,Hypercars,Legendary,IT,1500000
Ferrari,2013,458 Speciale,Track Toys,Epic,IT,340000
Ferrari,2014,FXX K,Extreme Track Toys,Legendary,IT,2700000
Ferrari,2014,California T,Super GT,Epic,IT,250000
Ferrari,2015,488 GTB,Modern Supercars,Epic,IT,290000
Ferrari,2015,F12tdf,Super GT,Epic,IT,500000
Ferrari,2017,812 Superfast,Super GT,Legendary,IT,350000
Ferrari,2017,#25 Corse Clienti 488 Challenge,Track Toys,Epic,IT,400000
Ferrari,2017,GTC4Lusso,Super GT,Epic,IT,300000
Ferrari,2017,J50,Modern Supercars,Rare,IT,2500000
Ferrari,2018,FXX-K Evo,Extreme Track Toys,Legendary,IT,3000000
Ferrari,2018,Portofino,Super GT,Epic,IT,215000
Ferrari,2019,Monza SP2,Super GT,Legendary,IT,2000000
Ferrari,2019,488 Pista,Track Toys,Epic,IT,320000
Ferrari,2019,#62 Risi Competizione 488 GTE,Extreme Track Toys,Rare,IT,313000
Ferrari,2020,F8 Tributo,Modern Supercars,Legendary,IT,300000
Ferrari,2020,SF90 Stradale,Hypercars,Legendary,IT,750000
Ferrari,2020,Roma,Super GT,Epic,IT,300000
Ferrari,2022,296 GTB,Modern Supercars,Epic,IT,300000
FIAT,1969,Dino 2.4 Coupe,Classic Sports Cars,Rare,IT,250000
FIAT,1980,124 Sport Spider,Classic Sports Cars,Common,IT,25000
Ford,1932,De Luxe Five-Window Coupe Forza Edition,Unlimited Buggies,Forza Edition,US,294000
Ford,1932,De Luxe Five-Window Coupe,Rods & Customs,Common,US,35000
Ford,1940,De Luxe Coupe,Rods & Customs,Common,US,44000
Ford,1946,Super Deluxe Station Wagon,Rods & Customs,Common,US,250000
Ford,1956,F-100,Rods & Customs,Legendary,US,36000
Ford,1959,Anglia 105E,Cult Classics,Common,US,20000
Ford,1964,GT40 MkI,Classic Racers,Legendary,US,11000000
Ford,1965,Mustang GT Coupe,Classic Muscle,Rare,US,46000
Ford,1965,Transit,Vans & Utility,Common,US,25000
Ford,1966,#2 GT40 MK II,Classic Racers,Legendary,US,11000000
Ford,1966,Lotus Cortina,Classic Racers,Common,US,50000
Ford,1967,Racing Escort Mk1,Classic Rally,Legendary,US,500000
Ford,1968,Mustang GT 2+2 Fastback,Classic Muscle,Legendary,US,50000
Ford,1969,Mustang Boss 302,Classic Muscle,Rare,US,230000
Ford,1970,GT70,Classic Rally,Rare,US,150000
Ford,1971,Mustang Mach 1,Classic Muscle,Epic,US,250000
Ford,1972,Falcon XA GT-HO,Classic Muscle,Rare,US,80000
Ford,1973,Capri RS3100,Classic Sports Cars,Rare,US,55000
Ford,1973,Escort RS1600,Classic Rally,Rare,US,73000
Ford,1973,XB Falcon GT,Classic Muscle,Rare,US,250000
Ford,1975,Bronco,Pickups & 4x4s,Common,US,38000
Ford,1975,Bronco,-,-,US,-
Ford,1977,#5 Escort RS1800 MKII,Classic Rally,Epic,US,300000
Ford,1977,Escort RS1800,Classic Rally,Rare,US,88000
Ford,1981,Fiesta XR2,Retro Hot Hatch,Epic,US,25000
Ford,1985,RS200 Evolution,Rally Monsters,Rare,US,260000
Ford,1986,Escort RS Turbo,Retro Hot Hatch,Common,US,25000
Ford,1986,F-150 XLT Lariat,Pickups & 4x4s,Common,US,250000
Ford,1986,Mustang SVO,Retro Muscle,Common,US,15000
Ford,1987,Sierra Cosworth RS500,Retro Saloons,Rare,US,66000
Ford,1992,Escort RS Cosworth,Retro Rally,Rare,US,66000
Ford,1993,SVT Cobra R,Retro Muscle,Common,US,28000
Ford,1994,Supervan 3 Donut Media Edition,Track Toys,Donut Edition,US,500000
Ford,1994,Supervan 3,Track Toys,Epic,US,500000
Ford,1999,Racing Puma Forza Edition,Rally Monsters,Forza Edition,US,500000
Ford,1999,Racing Puma,Retro Rally,Rare,US,20000
Ford,2000,SVT Cobra R,Retro Muscle,Common,US,55000
Ford,2001,#4 Ford Focus RS,Rally Monsters,Rare,US,200000
Ford,2003,F-150 SVT Lightning,Vans & Utility,Common,US,20000
Ford,2003,Focus RS,Hot Hatch,Common,US,30000
Ford,2003,Mustang SVT Cobra,Retro Muscle,Common,US,250000
Ford,2005,GT,Retro Supercars,Epic,US,300000
Ford,2009,Focus RS,Super Hot Hatch,Common,US,25000
Ford,2009,Fiesta Traffic,-,-,US,-
Ford,2010,Crown Victoria Police Interceptor,Retro Muscle,Common,US,25000
Ford,2011,F-150 SVT Raptor,Pickups & 4x4s,Rare,US,42000
Ford,2011,Transit Supersportvan,Vans & Utility,Rare,US,50000
Ford,2011,Transit SuperSportVan Traffic,-,-,US,-
Ford,2013,Shelby GT500,Modern Muscle,Rare,US,115000
Ford,2014,#11 Rockstar F-150 Trophy Truck,Unlimited Offroad,Epic,US,500000
Ford,2014,Ranger T6 Rally Raid,Offroad,Epic,US,250000
Ford,2014,Fiesta ST,Hot Hatch,Common,US,25000
Ford,2014,FPV Limited Edition Pursuit Ute,Vans & Utility,Common,US,50000
Ford,2015,Falcon GT F 351,Modern Muscle,Common,US,60000
Ford,2016,GT #66 GTLM Le Mans,Extreme Track Toys,Epic,US,650000
Ford,2016,Shelby GT350R,Track Toys,Rare,US,75000
Ford,2017,GT 'OPI Edition',Modern Supercars,Legendary,US,400000
Ford,2017,#14 Rahal Letterman Lanigan Racing Fiesta,Rally Monsters,Epic,US,500000
Ford,2017,"#25 ""Brocky"" Ultra4 Bronco RTR",Unlimited Offroad,Epic,US,500000
Ford,2017,Focus RS,Super Hot Hatch,Epic,US,59000
Ford,2017,GT,Modern Supercars,Epic,US,400000
Ford,2017,M-Sport Fiesta RS,Rally Monsters,Epic,US,500000
Ford,2017,F-150 Raptor,Pickups & 4x4s,Common,US,63000
Ford,2017,F-150 Raptor,-,-,US,-
Ford,2017,Focus RS,-,-,US,-
Ford,2018,#25 Mustang RTR,Drift Cars,Epic,US,500000
Ford,2018,#88 Mustang RTR,Drift Cars,Epic,US,500000
Ford,2018,Mustang RTR Spec 5,Modern Muscle,Rare,US,105000
Ford,2018,Mustang GT,Modern Muscle,Common,US,40000
Ford,2019,Ranger Raptor,Pickups & 4x4s,Epic,US,58000
Ford,2020,#2069 Ford Performance Bronco R,Offroad,Epic,US,250000
Ford,2020,Mustang Shelby GT500,Modern Muscle,Rare,US,100000
Ford,2020,"#2069 Ford Bronco R ""Welcome Pack""",Offroad,Common,US,250000
Ford,2020,Super Duty F-450 DRW Platinum,Pickups & 4x4s,Common,US,70000
Ford,2021,Mustang Mach-E 1400,Track Toys,Legendary,US,750000
Ford,2021,Bronco,Pickups & 4x4s,Rare,US,55000
Ford,2022,Bronco Raptor,Pickups & 4x4s,Epic,US,250000
Ford,2022,Ford F-150 Lightning Platinum,Pickups & 4x4s,Epic,US,100000
Ford,2022,Supervan 4,Extreme Track Toys,Rare,US,2000000
Ford,2023,F-150 Raptor R,Pickups & 4x4s,Epic,US,250000
Ford,2024,Mustang GT,Modern Muscle,Epic,US,250000
Formula Drift,1989,#98 BMW 325i,Drift Cars,Epic,US,300000
Formula Drift,1995,#34 Toyota Supra MKIV,Drift Cars,Epic,US,300000
Formula Drift,1996,#51 Donut Media Nissan 240SX,Drift Cars,Epic,US,250000
Formula Drift,1997,#777 Nissan 240SX,Drift Cars,Epic,US,300000
Formula Drift,2006,#43 Dodge Viper SRT10,Drift Cars,Epic,US,300000
Formula Drift,2007,#117 599 GTB Fiorano,Drift Cars,Epic,US,500000
Formula Drift,2009,#99 Mazda RX-8,Drift Cars,Epic,US,300000
Formula Drift,2013,#777 Chevrolet Corvette,Drift Cars,Epic,US,300000
Formula Drift,2015,#13 Ford Mustang,Drift Cars,Epic,US,300000
Formula Drift,2016,#530 HSV Maloo Gen-F,Drift Cars,Epic,US,300000
Formula Drift,2017,#357 Chevrolet Corvette Z06,Drift Cars,Epic,US,150000
Formula Drift,2018,#64 Nissan 370Z,Drift Cars,Epic,US,300000
Formula Drift,2019,#411 Toyota Corolla Hatchback,Drift Cars,Epic,US,300000
Formula Drift,2020,#151 Toyota GR Supra,Drift Cars,Epic,US,300000
Formula Drift,2020,#91 BMW M2,Drift Cars,Epic,US,300000
Formula Drift,2023,#64 Forsberg Racing Nissan Z,Drift Cars,Epic,US,300000
Forsberg Racing,1975,"Nissan ""Gold Leader"" Datsun 280Z",Retro Sports Cars,Rare,US,100000
Forsberg Racing,2010,Toyota Gumout 2JZ Camry Stock Car,Track Toys,Rare,US,400000
Forsberg Racing,2014,Nissan 'SafariZ' 370Z Safari Rally Tribute,Rally Monsters,Epic,US,40000
Forsberg Racing,2021,Nissan 'Altimaniac',Drift Cars,Epic,US,300000
Funco Motorsports,2018,F9,Unlimited Buggies,Epic,US,500000
Ginetta,2019,G10 RM,Track Toys,Epic,GB,500000
GMC,1970,Jimmy,Pickups & 4x4s,Legendary,US,75000
GMC,1983,Vandura G-1500,Vans & Utility,Common,US,25000
GMC,1991,Syclone,Vans & Utility,Epic,US,250000
GMC,1992,Typhoon,Vans & Utility,Epic,US,250000
GMC,2022,'Barbie Movie' HUMMER EV Pickup,Pickups & 4x4s,Epic,US,250000
GMC,2022,HUMMER EV Pickup,Pickups & 4x4s,Epic,US,250000
Gordon Murray Automotive,2022,T.50,Hypercars,Legendary,GB,2840000
HDT,1985,VK Commodore Group A,Retro Muscle,Rare,AU,250000
Hennessey,2012,Venom GT,Hypercars,Legendary,US,1200000
Hennessey,2019,Camaro Exorcist,Track Toys,Legendary,US,250000
Hennessey,2019,VelociRaptor 6x6,Pickups & 4x4s,Legendary,US,350000
Hennessey,2021,Venom F5,Hypercars,Legendary,US,3000000
Holden,1973,HQ Monaro GTS 350,Classic Muscle,Common,AU,75000
Holden,1974,Sandman HQ Panel Van,Vans & Utility,Common,AU,55000
Holden,1977,Torana A9X,Classic Muscle,Rare,AU,130000
Honda,1974,Civic RS,Retro Hot Hatch,Common,JP,25000
Honda,1984,Civic CRX Mugen,Retro Hot Hatch,Epic,JP,40000
Honda,1991,CR-X SiR,Retro Hot Hatch,Common,JP,20000
Honda,1992,NSX-R,Retro Sports Cars,Epic,JP,90000
Honda,1994,Prelude Si,Retro Hot Hatch,Common,JP,20000
Honda,1997,Civic Type R,Retro Hot Hatch,Common,JP,25000
Honda,2003,S2000,Modern Sports Cars,Common,JP,25000
Honda,2004,Civic Type R,Retro Hot Hatch,Common,JP,25000
Honda,2005,NSX-R,Retro Sports Cars,Epic,JP,150000
Honda,2005,NSX-R GT,Retro Sports Cars,Epic,JP,500000
Honda,2007,Civic Type R,Hot Hatch,Common,JP,20000
